PostID,發佈日期,標題,貼文內容,圖片網址
391,2026/05/06 20:04:00,【鬼扣應篇】,"【鬼扣應篇】
你知道「路上的紅包」不能撿吧？
傳說中可怕的冥婚詛咒，到底有幾個人經歷過呢？
由於今年擔任獅子會會長，所以認識了一大堆新朋友
其中有一群叫「獅子會會長同學」的人，就是跟我同屆接任會長的各獅子會會長
其中也有每天都能在電視上看到的命理老師喔～不過我是沒想認識他啦！
還記得我們剛上任時，獅子會辦了一個「新任會長們的聯誼自強活動」，有一個段落是請大家介紹自己
而我就在當時的自我介紹中，直接說「我專做驅鬼的生意」🤣
頓時引來大家的側目，不過有實力是不用太在意啦！
也因為如此，某天一位很要好的會長同學，抓著我的手唏哩花啦的說著他家的故事
他說：「我是姐姐，原本還有位品學兼優的弟弟，爸媽的期待也都在弟弟身上。誰知當年弟弟撿了一個紅包後，大家當然都不能接受，最終弟弟撒手人寰。我有好長一段時間，不能接受這些宗教，他們到底能幫助我什麼？」
先澄清一下，現在不是要戰宗教，而是本質的不同
看不見，怎可能驅鬼？
因為那天的對談，也讓我想起，之前我超想寫的一個故事
某天我帶著客人A去求財，但客人A當天早上出門前和弟弟聊天時，突然有個靈感，是不是該找鬼磕頭來看看弟弟啊？
於是，他就在求財路上跟我說了，他弟弟的事
客人家中經營著某種鍋爐生意，什麼鍋爐我也聽不懂
所以客人弟弟需要按時去客戶那幫忙維修保養鍋爐
就在某次維修時，不幸的意外發生了，客人弟弟從高處落下，在醫院躺了好多天，還好最後人有清醒過來，身體也漸漸恢復，但伴隨而來的是，弟弟就很常睡不好，半夜會醒來，像是無法睡穩一樣
在和客人弟弟見過面並看完他家的狀況後，除了他家滿滿的陰氣外，就是客人弟弟被鬼纏身了
同時客人媽媽又說：「爸爸已經走了，有什麼方式可以安頓家裡原本祭祀的神桌嗎？包含神明跟祖先。」
我很簡單的跟客人媽媽說：「都送走就好啦～」
於是我們就選了一個吉日良辰來處理客人家的靈界問題
先把房子裡的陰氣去除
接著把弟弟身上的陰鬼送走
最後來到退神位和祖先牌位的步驟⋯⋯⋯
只記得當我們一請下祖先牌位時
瞬間在神桌旁就出現了一位厲鬼
我看著厲鬼，厲鬼兇巴巴的站著瞪我？
我大概看了一下牌位裡的先人祖譜，然後平靜的問大家說：「這個人是誰啊？」
客人跟我說：「爺爺當初有冥婚，這是他冥婚的那位。」
我接著問說：「奶奶有同意喔？」
客人跟我說：「當初他們有講好，只要冥婚就沒事，然後奶奶有說，她是正房，女鬼是二房。」
我說：「原來是這樣⋯⋯⋯」
我是一個通靈人
但從我第一天開始學法術，師傅就跟我說：『不可以跟鬼打交道。』
冥婚是什麼概念，就是跟鬼打交道啊！
如果可以冥婚，那是不是也可以把祖先們都當小鬼養著？
為什麼不能養小鬼，卻認同冥婚？
有認真想過冥婚的狀態嗎？
一個死了走不了的怨鬼，找到一個活人寄生
這個活人死了會有些民俗儀式送走他，但這個冥婚的靈體哪時送？
當年送不了，我想也很難有人送得了
所以等於在家拜鬼欸🤣
還是一個厲鬼，陪伴家人直到永遠
以上，觀念分享
結論就是多一個厲鬼要處理
齁～當初看房子時，厲鬼不在家啊😓
雖然少收了一些錢，但有功夫就是很有彈性
反正該做的一定要做給客人，不然就枉費我的能力了
默默地跟厲鬼說：「這個給祢，快走吧～留下來沒好處的，祢也留不住。」
然後跟客人弟弟說：「你會開始可以正常睡到天亮了，有什麼不舒服記得跟我反應。」
因為客人弟弟將是這個家裡最敏感的警報器🚨
與虎謀皮，與鬼求財，人生大忌，不可不防
不懂就不要亂牽姻緣，祂只是走不了，不需要一定要嫁活人
我不用介紹靈界金城武給祂，祂也一定會走，因為我給的是回歸靈界的車票",pic/202605062147520.jpg
390,2026/04/26 21:49:44,【神知鬼識】,"【神知鬼識】
最近開始帶著徒弟一起出門辦事了
偶爾徒弟會給我一些很棒的回饋
讓我這個已經太熟悉的人，回憶一下青澀的時光
請過我的人應該都知道
事實上我看一間房子大約15分鐘內就看完了
剩下的時間都在聊天
但往往這個聊天才是最重要的
因為我所提供的服務就是改變一個人的未來
從思想到行為一步步的改善上去
而形形色色的人們所提出的回應自然都莫衷一是
畢竟大家都看不見我在做什麼🤔
某天離開客人家後
徒弟跟我說：「那個人剛剛說『就這樣』，應該是指師父你就只講這樣嗎？也太少了吧的意思。」
我回徒兒說：「會嗎？我花了1個多小時了欸。」
原來那位施主覺得獲得的很少啊？！
事實上在跟每個人聊天時
都會因為對方的反應，我師傅直接說，回答哪一段
所以我的工作大多是負責轉述完該講的重點
然後我就繼續放空了
連該講什麼都是師傅會指定的啦～我只是那個發出聲音的人
講這麼多都做不到，講也沒用
講這麼久都聽不懂，講也沒用
而且我總是在出門前就確定好
貴客絕對有我幫得上忙的地方
不然我是不會出門的
因為騙路費也是騙，靈界不允許騙人的
如果聯繫時有看見靈界問題，現場沒看見半點妖邪鬼魅，這趟路就不能收錢了
還好目前為止都精準命中，從沒白跑過
我覺得最奇妙的還是某些防衛心比較高的客人
✨有的人神神秘秘的，做什麼都不說，問什麼也不答，然後又要跟我說：「我覺得沒什麼進步欸？」我好想跟他說，你先老實講講你做了什麼吧？！
✨也有的人好像聽不懂什麼才是法術，可能他還是比較喜歡跑宮廟吧？！他還是喜歡每天去擲筊的感覺？！
✨有的客人說很想更好，但卻像上市場挑菜一樣，跟我說這個不要做，先做某部分就好？？
我好想問他說，你去醫院看完醫生回來也都自己配藥吃嗎？那你自己當醫生就好了吧？
這世界上被靈界干擾的人很多，我永遠做不完的
就像有人說，地獄不空誓不成佛，那就真的不會成佛了喔，世上豈有完人？
希望早日教會我的小徒弟們，讓他們也都能跟我一起笑看人生，他人的人生🤣
這個有趣的地方就在於，你完全可以左右一個人的未來，只是你要不要出力而已",pic\20260504151811.jpg
389,2026/04/22 21:06:55,【神來也篇】,"【神來也篇】
如果可以多幾隻手是不是很奇怪？！
但如果多的手是全自動的好像蠻不錯的
大家知道當老師是有旺季的嗎？
通常過年總是特別忙碌的時候
因為前一年的工作要收尾了，滿意的客人會回購續約，新客人也會在這時候開始加入
基本上大概就是每天都在接單、理貨排出貨的狀態
但大家應該也都聽過「年關」這個東西吧？！
除了人間的事務要結算、自然界的節氣要調整，有時候鬼鬼們也很喜歡這時候來插一腳
這是什麼概念呢？？
因為人類看不見祂們，所以如果真的造成負面影響，就讓人們聯想成年關就好了
鬼鬼們就是偏負面的一種能量，所以做事風格也偏低級，假借名義當然也是祂們慣用的手法之一
過年前的某天⋯⋯⋯
對！都農曆三月了，我現在才在寫過年前的事
因為太忙了嘛～請各位見諒😓
那晚有三個人有遇鬼的狀況可以處理
一個是嚴重鬼纏身的客人，那幾天狀態又不太穩定
一個是已經處理好的客人，但那幾天又感受到有奇怪的感覺
一個是我親戚，他沒有付過半塊錢喔！但有事還是會來情勒？？
為什麼處理好的客人還是會有奇怪的感覺呢？
因為人界不像靈界永恆不變，一切都在興衰輪替之中，所以法術也會因為時間的流逝而衰弱，需要再調查或微調
同時，這也是陣法的玄妙之處，它是一種活著的能量，雖然沒有過多的意識，但仍可執行一定的工作。提醒客人，該打給「鬼磕頭」了
有人跟我說那就不要保固，應該使用者付費啊？！
道理好像是這樣，但是人就是看不見啊，如何要求一個瞎子自己知道天黑了
所以我才提供「保固」服務：
1.就看不到怎麼知道有沒有處理好，今天好明天不好，怎麼界定？
2.只要不是當事人自己招鬼，簡單處理一下很快就好了啦～幹嘛這麼計較，反正我天天都見鬼🤣，也謝謝大家相信真正的法術
由於事務繁多，我那晚睡前便寫信邀請三方鬼眾前來相會
相會要做什麼，當然是要祂們乖乖的囉～
但祂們本來就不是多乖的東西，但有見上面都是好的😇
然後我就好好的睡去就可以
只記得我當時像寶寶一樣擺著「投降式」睡恣在自己床上，也不知道是睡到幾點了，但突然有東西來了，祂就在我房門外的神明廳
祂懸空出現在了神桌前，我的靈魂同時在床上坐起望向了神明廳
一個想法後，我的意識隨著空氣來到神明廳
看著黑黑灰灰的鬼，祂漂浮在神桌前虎邊的地板上
忽然間，祂抬起了頭看向我，我的身體吞了一口口水，順著喉嚨的擺動方向，我的靈魂回到了床上
身處投降式睡姿的我，讓我覺得不是很好輔助我施力，當我正準備轉換睡姿時
惡鬼瞬間來到了我的床上，祂用力壓著我的身體，此刻我再次感受到鬼壓床的靈壓，原本準備調整姿勢的我，頓時無法動彈
由於當下雙手仍處於投降式睡姿，正當我苦惱著該怎麼做時，我發現惡鬼同時也控制住了我的雙手，導致我的雙手僅能緩緩內縮，直到我的雙手像第一神拳主角一步要施展「羚羊拳」時的姿勢
好的！現在我的手好像真的完全動不了了
而那惡鬼還壓在我的身體上🙄
就在我們僵持不下之際，我的兩個太陽穴上分別長出了一支菩薩手，就是千手觀音背後沒有拿法器的那種手
這兩隻手出現後，瞬間在空中做出手刀的動作，一起劈向壓在我身上的惡靈
惡靈因為看見我多了兩隻手被嚇到，同時又受到兩個手刀的劈擊，順著攻勢祂退出了我的房間，站在我房門外的廁所門口
我一個箭步，在廁所門口將祂踢落馬桶🚽，接著縮回身體裡，翻個身繼續睡去
如果叫鬼來聊天，祂真的來我家，90%是來打架的，打贏也是談判的一種方法；去看祂，大多是有事相求
菩薩手工作完後就自己消失了，沒有收道具的必要
只有馬桶還在那裡，廁所常常可以充當鬼魅的安全門",pic\20260504153908.jpg
388,2026/04/16 03:24:06,【公告】,丙午年桐月補氣和安太歲儀式完成,
387,2026/03/28 20:44:12,【公告】,丙午年花月補氣和安太歲儀式完成✅,
386,2026/03/09 00:15:00,【神知鬼識】,"【神知鬼識】
你請過老師嗎？
不論是看風水、排流年或是取名字的老師
那你會懷疑老師能不能幫上你嗎？

雖然我看得見靈界的東西
但這些看得見的學問，我原本也是一竅不通
大約我高中左右，那時候很流行電視節目在介紹居家格局怎麼看
電視上最常介紹的就是，房子進門45度是財位，可以放些招財的東西
但我怎麼看我家45度角就是沒有財神啊～這樣算財位嗎？放這些招財物品有用嗎？
反正那時我也還在求學，看看之後當然也沒多去深究

出社會後，漸漸開始認識一些成功人士
同時也發現有些成功人士都有在請老師看這個看那個的
當時我大概就是開始學習送鬼和醫鬼的小法師階段
經人介紹後，我也去上了一位老師的幾堂課，蠻便宜的那種

只記得老師截錄了好幾本古籍的內容
大致告訴我們各種風水看法的邏輯
然後課後帶著我們上山下海去實地看看山脈走勢，讓我們了解怎麼看這個案山在哪？靠山在哪？
但當時授課的老師也蠻怕鬼的，所以他也找了一個通靈人跟他搭配
只是老師身後的鬼，我也沒看那位通靈人出手幫老師解決

之後當我的法術越學越多
我也開始幫客人大概看看風水格局
而我看的重點就是這裡有沒有這個東西？
格局有煞，不一定真的有煞
風水一級棒，不一定沒有鬼盤踞游移
隨著客人越看越多
我漸漸發現原來這麼多看風水的方法裡
有一些方法，是鬼也會遵守的規則
當我們能知道怎麼遠離鬼這種負面磁場，那人生就更加趨近善了

所以「地師學院」所要傳授的課程
就是靈界通用的「有形法」
內容包含：
1.五行法
2.陽宅格局法
3.陰宅風水法
4.姓名學法
5.數字法
等等，人生遵循了有意義的方法
不是習俗，也不著墨於「鬼都不信」的方法

之前客人幫我介紹了一個新客人來求財
這位新客人的本職工作是在新竹當工程師
在下班的閒暇時間從事「塔羅」和其他類玄學的兼職
然後他想諮詢我能怎麼幫他招財

大致了解他的狀況後
我自己內心都充滿了疑問
你自己當老師，然後來找我求財，那你教你客人的是什麼？
你不是去跟別的老師學的嗎？你的老師沒教你怎麼招財嗎？
我後來決定，還是不要幫這種怪怪的人，免得增加他出去害人的機率

最後
最重要的是「地師學院」成就的地師
絕對不會看風水看到自己鬼纏身喔～
雖然你沒有通靈的能力，但我還是會保護我的徒弟的😊",pic\20260309_0015.jpg
385,2026/02/22 14:38:18,【公告】,心還在年假，所以沒寫新文章🥱,
384,2026/02/15 12:59:04,【公告】,丙午年一月補氣和安太歲儀式完成✅,
383,2026/02/09 14:47:15,【公告】,"因為發財金滿單，做不出來。
所以沒空寫文章，下週再寫。

預㊗️大家新年快樂🎉",
382,2026/02/01 15:59:20,【神知鬼識】,"【神知鬼識】
你會想學法術嗎？
你覺得凡人學得會法術嗎？
基本上我也是凡人的一種，只是有一點天賦
但天賦應該都是一樣的，你不努力有天賦又有什麼用

還記得當年陳老師招收學生時，也曾力邀爸爸好友的小孩來學
爸爸的好友滿頭問號的問我說：「你覺得我兒子學得起來嗎？我也擔心陳老師只是想收學費。」
直到今日我也還是一樣的答案

如果明天要出國，你的行李中會帶什麼東西呢？
每當你回國後，打開裝滿戰利品的行李箱，當初帶出去的東西，每個都有用到嗎？
我想通常不會用上每一個帶出國的東西，但它應該都是可能會用到的，頂多是備而不用，而非毫無用處

現在教育普及，天上掉下一坨鳥屎，打到的可能都是碩士了
你會覺得念書是沒意義的嗎？
千年前教育不普及，唯有讀書高
現在教育普及了，我看讀書也沒有比較低
因為那學得是一個水準？
一個基本的概念？
一個應該有的邏輯？
一個起跑點的標準？

把這個想法放入人生之中
人總會當天使的，當天使後就要學法術了
那活著時能學要不要學一點？
不然你覺得那些財富自由的富人，怎麼這麼愛玄學🤣
只有體會不到，不是你用不到

天相法門顧名思義傳授的是法術
取名天相是因為，靈界與人間一樣，只要出門即可能充滿競爭
我們不以天自居，畢竟天外有天
但我們如同識途老馬般，有著非凡的眼界
我們雖然不代天執狩，但我們看得懂，插得上話
審時度勢，觀星望斗，知其玄妙，以巧勝拙

人生這一局，你若知道再走一步，你就贏了，想知道嗎？
你若知道已經輸了，再走一步，你又贏了，你想知道嗎？

如果今天大家都有法術，你就想動法了嗎？
真正的法術是，有法不動，即得法功

舉例一下，今天遇到一個客人撞鬼了
先遠遠的做個儀式，請天兵大仙前去拆鬼的台，讓鬼所在的地方一切都不一樣了
然後就會進入，「鬼」撞鬼期，鬼會開始覺得煩躁，被弄了
通常這時候70%的鬼就撤退了，畢竟沒見到人都打不贏了，需要見嗎？
剩下30%有執念的，可能最後會千里迢迢來找我一決雌雄
然後就輕鬆的撂倒祂就可以了

畢竟學仙術的很難打輸鬼
再讓那個鬼覺得我比祂還像鬼
就結案了

將樸實無華的外衣，包裝千變萬化的法術
用單純良善的心，薦請神靈撫慰憐憫世人
以當仁不讓之心，謙遜的完成能做的一切
就是天相能做的事",pic\20260201_2359.jpg
